epoch,accuracy,loss,val_accuracy,val_loss
0,0.7319999933242798,0.7557500600814819,0.7900000214576721,0.4893453121185303
1,0.8479999899864197,0.4097902178764343,0.7512500286102295,0.6725857257843018
2,0.8889999985694885,0.32629725337028503,0.893750011920929,0.2798103392124176
3,0.8859999775886536,0.29983073472976685,0.8899999856948853,0.28927457332611084
4,0.9139999747276306,0.23804938793182373,0.8787500262260437,0.3849400579929352
5,0.921999990940094,0.22202612459659576,0.8899999856948853,0.35301288962364197
6,0.9330000281333923,0.17083191871643066,0.8999999761581421,0.3113175630569458
7,0.9419999718666077,0.17148837447166443,0.8949999809265137,0.4261837899684906
8,0.949999988079071,0.14135892689228058,0.8899999856948853,0.4402580261230469
9,0.9549999833106995,0.1402290165424347,0.8399999737739563,0.6800165772438049
